Technologie,Nettonennleistung (elektrische Wirkleistung) in MW,Cluster
Erdgas,4.41,0
Erdgas,4.41,0
Erdgas,4.41,0
Erdgas,4.4,0
Erdgas,4.4,0
Erdgas,4.4,0
Erdgas,4.39,0
Erdgas,4.39,0
Erdgas,4.39,0
Erdgas,4.39,0
Biomasse,4.39,0
Erdgas,4.38927,0
Erdgas,4.387,0
Erdgas,4.387,0
Erdgas,4.387,0
Erdgas,4.387,0
Erdgas,4.368,0
Erdgas,4.35,0
Erdgas,4.346,0
Erdgas,4.339,0
Erdgas,4.322,0
Erdgas,4.313,0
Erdgas,4.313,0
Biomasse,4.311,0
Erdgas,4.3,0
Erdgas,4.3,0
Erdgas,4.3,0
Erdgas,4.3,0
Biomasse,4.26,0
Biomasse,4.26,0
Erdgas,4.253,0
Erdgas,4.241,0
Erdgas,4.241,0
Erdgas,4.241,0
Erdgas,4.229,0
Erdgas,4.225,0
Erdgas,4.225,0
Erdgas,4.225,0
Erdgas,4.223,0
Erdgas,4.223,0
Erdgas,4.207,0
Erdgas,4.207,0
Erdgas,4.207,0
Erdgas,4.207,0
Erdgas,4.2,0
Erdgas,4.2,0
Erdgas,4.2,0
Erdgas,4.2,0
Erdgas,4.171,0
Erdgas,4.171,0
Erdgas,4.171,0
Erdgas,4.162,0
Erdgas,4.15,0
Erdgas,4.1353,0
Erdgas,4.13,0
Erdgas,4.13,0
Erdgas,4.13,0
Erdgas,4.119,0
Erdgas,4.119,0
Erdgas,4.1,0
Erdgas,4.09,0
Biomasse,4.08,0
Kohle,4.077,1
Erdgas,3.995,0
Biomasse,3.9,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.879,0
Erdgas,3.815651,0
Erdgas,3.815651,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.772,0
Erdgas,3.736,0
Erdgas,3.729,0
Erdgas,3.725,0
Biomasse,3.705,0
Erdgas,3.7,0
Erdgas,3.647,0
Erdgas,3.6,0
Erdgas,3.4,0
Biomasse,3.4,0
Erdgas,3.375,0
Erdgas,3.36,0
Erdgas,3.36,0
Erdgas,3.36,0
Erdgas,3.36,0
Erdgas,3.36,0
Biomasse,3.352,0
Biomasse,3.352,0
Biomasse,3.352,0
Erdgas,3.343,0
Erdgas,3.334,0
Erdgas,3.334,0
Erdgas,3.334,0
Erdgas,3.334,0
Erdgas,3.334,0
Erdgas,3.334,0
Erdgas,3.313,0
Biomasse,3.293,0
Erdgas,3.293,0
Erdgas,3.288,0
Erdgas,3.286,0
Biomasse,3.285,0
Erdgas,3.285,0
Erdgas,3.285,0
Erdgas,3.233,0
Erdgas,3.2,0
Erdgas,3.2,0
Erdgas,3.119,0
Biomasse,3.054,0
Biomasse,3.054,0
Erdgas,3.04,0
Erdgas,3.0,0
Erdgas,3.0,0
Erdgas,3.0,0
Erdgas,2.927,0
Erdgas,2.927,0
Erdgas,2.927,0
Erdgas,2.927,0
Erdgas,2.85,0
Biomasse,2.78,0
Erdgas,2.722,0
Erdgas,2.679,0
Erdgas,2.678,0
Erdgas,2.678,0
Erdgas,2.678,0
Erdgas,2.673,0
Erdgas,2.673,0
Erdgas,2.64,0
Erdgas,2.624,0
Erdgas,2.622,0
Erdgas,2.622,0
Erdgas,2.622,0
Erdgas,2.622,0
Erdgas,2.619,0
Biomasse,2.6,0
Biomasse,2.6,0
Biomasse,2.578,0
Biomasse,2.55,0
Erdgas,2.55,0
Erdgas,2.419,0
Erdgas,2.419,0
Erdgas,2.419,0
Erdgas,2.4,0
Erdgas,2.391,0
Erdgas,2.391,0
Erdgas,2.391,0
Biomasse,2.391,0
Erdgas,2.3,0
Erdgas,2.176,0
Erdgas,2.173,0
Erdgas,2.173,0
Erdgas,2.173,0
Erdgas,2.173,0
Erdgas,2.173,0
Erdgas,2.13,0
Biomasse,2.12,0
Biomasse,2.1,0
Erdgas,2.04,0
Erdgas,2.032,0
Erdgas,2.008,0
Erdgas,2.004,0
Erdgas,2.004,0
Erdgas,2.0,0
Biomasse,2.0,0
Biomasse,2.0,0
Erdgas,2.0,0
Erdgas,1.999,0
Biomasse,1.999,0
Erdgas,1.999,0
Erdgas,1.9805,0
Erdgas,1.9805,0
Erdgas,1.98,0
Erdgas,1.98,0
Erdgas,1.9758,0
Erdgas,1.97,0
Erdgas,1.97,0
Erdgas,1.97,0
Erdgas,1.97,0
Erdgas,1.97,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.968,0
Erdgas,1.957,0
Erdgas,1.95,0
Erdgas,1.95,0
Biomasse,1.93,0
Erdgas,1.899,0
Erdgas,1.84,0
Erdgas,1.84,0
Erdgas,1.8223,0
Erdgas,1.78,0
Erdgas,1.751,0
Biomasse,1.648,0
Erdgas,1.6,0
Erdgas,1.6,0
Biomasse,1.5565,0
Erdgas,1.532,0
Erdgas,1.532,0
Biomasse,1.5,0
Biomasse,1.5,0
Biomasse,1.484,0
Biomasse,1.452,0
Biomasse,1.452,0
Biomasse,1.45,0
Erdgas,1.434,0
Erdgas,1.403,0
Erdgas,1.398,0
Erdgas,1.387,0
Biomasse,1.3725,0
Biomasse,1.3725,0
Biomasse,1.3725,0
Biomasse,1.364,0
Erdgas,1.35,0
Erdgas,1.35,0
Biomasse,1.35,0
Erdgas,1.32,0
Erdgas,1.248,0
Erdgas,1.214,0
Biomasse,1.177,0
Biomasse,1.15,0
Kohle,1.133,1
Erdgas,1.1229,0
Erdgas,1.088,0
Biomasse,1.048,0
Biomasse,1.048,0
Biomasse,1.048,0
Biomasse,1.048,0
Biomasse,1.048,0
Biomasse,1.01,0
Erdgas,1.0,0
Biomasse,1.0,0
Biomasse,1.0,0
Biomasse,0.93,0
Biomasse,0.93,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.549,0
Biomasse,0.542,0
Biomasse,0.542,0
Erdgas,0.482,0
Erdgas,0.366,0
Erdgas,0.065,0
Biomasse,0.001,0
Biomasse,1e-05,0
