Tag,Strombedarf
2015-08-21,29061.92
2015-08-22,25033.99
2015-08-23,23149.54
2015-08-24,29752.71
2015-08-25,30504.39
2015-08-26,30567.12
2015-08-27,30630.44
2015-08-28,29885.88
2015-08-29,25427.19
2015-08-30,23372.3
2015-08-31,30219.38
2015-09-01,31070.63
2015-09-02,30524.62
2015-09-03,30313.72
2015-09-04,29963.82
2015-09-05,25736.1
2015-09-06,23794.27
2015-09-07,29930.78
2015-09-08,30617.92
2015-09-09,30342.73
2015-09-10,30406.98
2015-09-11,30166.39
2015-09-12,25897.56
2015-09-13,23667.45
2015-09-14,30472.38
2015-09-15,31331.72
2015-09-16,31390.33
2015-09-17,31573.5
2015-09-18,30324.42
2015-09-19,25682.14
2015-09-20,23617.52
2015-09-21,30107.46
2015-09-22,31078.6
2015-09-23,31055.63
2015-09-24,31042.67
2015-09-25,30599.07
2015-09-26,26257.76
2015-09-27,23707.39
2015-09-28,30464.64
2015-09-29,31304.76
2015-09-30,31156.38
2015-10-01,30557.43
2015-10-02,30028.59
2015-10-03,23898.56
2015-10-04,23408.97
2015-10-05,29900.9
2015-10-06,31654.99
2015-10-07,31538.8
2015-10-08,31421.99
2015-10-09,30814.41
2015-10-10,26198.22
2015-10-11,24062.92
2015-10-12,30753.6
2015-10-13,32269.63
2015-10-14,32986.46
2015-10-15,32935.39
2015-10-16,32192.24
2015-10-17,27267.89
2015-10-18,25019.83
2015-10-19,31611.64
2015-10-20,32276.65
2015-10-21,32179.38
2015-10-22,32381.82
2015-10-23,31507.56
2015-10-24,26969.31
2015-10-25,25926.01
2015-10-26,31145.74
2015-10-27,32119.03
2015-10-28,32385.54
2015-10-29,32181.29
2015-10-30,31712.93
2015-10-31,26577.89
2015-11-01,24762.07
2015-11-02,31595.53
2015-11-03,32515.32
2015-11-04,32515.11
2015-11-05,32057.35
2015-11-06,31662.36
2015-11-07,27410.41
2015-11-08,24908.51
2015-11-09,32056.22
2015-11-10,32864.59
2015-11-11,32636.34
2015-11-12,32682.22
2015-11-13,32708.37
2015-11-14,28169.99
2015-11-15,26156.67
2015-11-16,32355.77
2015-11-17,33350.21
2015-11-18,33279.47
2015-11-19,33797.79
2015-11-20,32954.5
2015-11-21,28465.08
2015-11-22,26660.33
2015-11-23,33415.92
2015-11-24,34922.69
2015-11-25,34662.5
2015-11-26,34190.92
2015-11-27,33658.46
2015-11-28,29434.64
2015-11-29,27536.47
2015-11-30,33786.02
2015-12-01,34053.35
2015-12-02,33875.71
2015-12-03,33472.93
2015-12-04,33412.05
2015-12-05,28737.15
2015-12-06,26600.73
2015-12-07,32724.86
2015-12-08,33771.38
2015-12-09,33802.24
2015-12-10,34275.81
2015-12-11,34048.17
2015-12-12,28570.58
2015-12-13,26499.36
2015-12-14,33138.89
2015-12-15,33470.6
2015-12-16,33442.4
2015-12-17,32293.74
2015-12-18,31416.39
2015-12-19,27066.59
2015-12-20,25160.92
2015-12-21,30060.75
2015-12-22,29685.42
2015-12-23,28440.95
2015-12-24,24268.34
2015-12-25,22407.42
2015-12-26,22549.19
2015-12-27,23111.27
2015-12-28,26222.85
2015-12-29,26481.02
2015-12-30,26643.83
2015-12-31,25211.33
2016-01-01,23972.0
2016-01-02,27086.9
2016-01-03,26739.09
2016-01-04,32742.67
2016-01-05,33943.27
2016-01-06,32801.24
2016-01-07,34901.24
2016-01-08,34460.99
2016-01-09,29487.89
2016-01-10,27623.42
2016-01-11,35058.22
2016-01-12,35626.42
2016-01-13,35932.68
2016-01-14,35650.69
2016-01-15,35678.78
2016-01-16,30672.65
2016-01-17,28686.7
2016-01-18,36316.93
2016-01-19,37319.57
2016-01-20,37101.78
2016-01-21,36893.47
2016-01-22,36713.05
2016-01-23,31463.9
2016-01-24,28509.37
2016-01-25,34696.73
2016-01-26,35352.66
2016-01-27,35647.57
2016-01-28,35165.97
2016-01-29,34839.67
2016-01-30,30517.67
2016-01-31,27877.34
2016-02-01,34912.21
2016-02-02,35740.16
2016-02-03,35708.12
2016-02-04,35701.34
2016-02-05,34727.45
2016-02-06,29511.92
2016-02-07,27348.7
2016-02-08,34136.02
2016-02-09,35230.08
2016-02-10,35729.15
2016-02-11,35110.6
2016-02-12,34639.81
2016-02-13,30234.93
2016-02-14,27960.6
2016-02-15,35261.07
2016-02-16,35912.75
2016-02-17,36227.5
2016-02-18,35396.03
2016-02-19,35375.74
2016-02-20,31419.07
2016-02-21,28130.96
2016-02-22,34894.12
2016-02-23,35338.59
2016-02-24,35123.86
2016-02-25,35280.53
2016-02-26,34354.15
2016-02-27,29367.04
2016-02-28,27416.22
2016-02-29,34446.81
2016-03-01,35891.46
2016-03-02,35549.1
2016-03-03,35190.19
