Jahr,Fischerei,Haushalt,Industrie,Landwirtschaft,Verkehr,Wirtschaft
2000,0.0,26.99328728721482,43.76645068543445,0.0,3.2909127577166317,25.94934926963409
2001,0.0,27.056131377035936,44.264425449813785,0.0,3.3111230762327812,25.368320096917486
2002,0.0,26.84327656222516,43.37789368227043,0.0,3.183774293602297,26.5950554619021
2003,0.0,27.014929560140654,42.82427313207865,0.0,2.5371728460465315,27.623624461734163
2004,0.0,26.916274856575935,43.538395258765064,0.0,2.472650510724386,27.072679373934598
2005,0.0,27.048152602882205,44.13478134640968,0.0,2.514508312569191,26.302557738138916
2006,0.0,26.792617566153147,43.891188521356774,0.0,2.401289664277036,26.914904248213034
2007,0.0,26.457552477449713,45.192638075429045,0.0,2.3116569051484688,26.03815254197278
2008,0.0,26.432708831710887,44.521833871515305,0.0,2.103778326925152,26.941678969848653
2009,0.0,27.981555580620626,40.60960615201123,0.0,2.331349594113331,29.07748867325481
2010,0.0,26.635060201961135,42.95161913513853,1.1044684161610676,2.270600766491578,27.038251480247705
2011,0.0,26.025122317159333,44.626486130332275,1.0726335036556227,2.306627750978405,25.969130297874372
2012,0.0,26.118899487577078,43.962190009553645,1.0861184016811032,2.292557687297038,26.540234413891127
2013,0.0,26.03821810517717,43.62353501784011,0.8563467890718195,2.2830773387196706,27.198822749191226
2014,0.0,25.3245494953925,45.502498747505186,1.2226411980960992,2.2516138592418375,25.698696699764373
2015,0.0,24.992852557705486,44.4365388038688,1.075622636624034,2.16483889934783,27.33014710245387
2016,0.0,24.770340362131225,44.55074946650694,1.0543733549736154,2.2679358863713457,27.356600930016878
2017,0.0,25.228491796241254,44.74917154160437,0.9807684175762179,2.3040537321709493,26.737514512407202
2018,0.018431501071262835,25.104358831879075,45.29383248164893,1.0088247627762201,2.3728103731179275,26.20174204950657
2019,0.014266117355878646,25.48543960900768,44.96685785128776,1.0188805070010272,2.3372935329172475,26.17726238243041
2020,0.008467673647793163,26.42449888076939,43.88582119729449,0.9793699820393154,2.3918009877800523,26.310041278468955
2021,0.014563233615945298,26.31381767387362,43.888694650679724,1.0265412153407547,2.2503531028303256,26.50603012365964
2022,0.015233612092929687,28.10432814828468,43.44725012951478,1.073795221878723,2.7518182944052523,24.607574593823642
