Tag,Strombedarf
2015-09-23,392063.81
2015-09-24,391900.17
2015-09-25,386299.95
2015-09-26,331492.75
2015-09-27,299295.45
2015-09-28,384602.81
2015-09-29,395208.96
2015-09-30,393335.75
2015-10-01,385774.18
2015-10-02,379097.91
2015-10-03,301708.9
2015-10-04,295527.99
2015-10-05,377485.77
2015-10-06,399630.5
2015-10-07,398163.62
2015-10-08,396688.89
2015-10-09,389018.54
2015-10-10,330741.1
2015-10-11,303783.88
2015-10-12,388250.77
2015-10-13,407390.01
2015-10-14,416439.63
2015-10-15,415794.91
2015-10-16,406413.02
2015-10-17,344245.2
2015-10-18,315864.42
2015-10-19,399083.21
2015-10-20,407478.69
2015-10-21,406250.68
2015-10-22,408806.39
2015-10-23,397769.25
2015-10-24,340475.83
2015-10-25,327304.61
2015-10-26,393201.35
2015-10-27,405488.72
2015-10-28,408853.33
2015-10-29,406274.73
2015-10-30,400361.92
2015-10-31,335534.33
2015-11-01,312610.35
2015-11-02,398879.74
2015-11-03,410491.7
2015-11-04,410489.04
2015-11-05,404710.01
2015-11-06,399723.49
2015-11-07,346044.42
2015-11-08,314459.1
2015-11-09,404695.8
2015-11-10,414901.15
2015-11-11,412019.53
2015-11-12,412598.72
2015-11-13,412928.94
2015-11-14,355633.88
2015-11-15,330216.57
2015-11-16,408477.54
2015-11-17,421031.92
2015-11-18,420138.84
2015-11-19,426682.36
2015-11-20,416036.17
2015-11-21,359359.25
2015-11-22,336575.07
2015-11-23,421861.45
2015-11-24,440883.78
2015-11-25,437598.91
2015-11-26,431645.51
2015-11-27,424923.39
2015-11-28,371599.47
2015-11-29,347635.99
2015-11-30,426533.82
2015-12-01,429908.75
2015-12-02,427666.04
2015-12-03,422581.19
2015-12-04,421812.53
2015-12-05,362794.04
2015-12-06,335822.6
2015-12-07,413137.06
2015-12-08,426349.0
2015-12-09,426738.52
2015-12-10,432717.13
2015-12-11,429843.29
2015-12-12,360691.12
2015-12-13,334542.86
2015-12-14,418364.08
2015-12-15,422551.68
2015-12-16,422195.77
2015-12-17,407694.33
2015-12-18,396618.17
2015-12-19,341703.84
2015-12-20,317645.59
2015-12-21,379503.89
2015-12-22,374765.53
2015-12-23,359054.59
2015-12-24,306377.23
2015-12-25,282883.97
2015-12-26,284673.68
2015-12-27,291769.68
2015-12-28,331052.05
2015-12-29,334311.31
2015-12-30,336366.74
2015-12-31,318282.11
2016-01-01,289158.25
2016-01-02,326731.24
2016-01-03,322535.9
2016-01-04,394952.99
2016-01-05,409435.03
2016-01-06,395659.55
2016-01-07,420990.46
2016-01-08,415679.93
2016-01-09,355692.78
2016-01-10,333202.92
2016-01-11,422884.01
2016-01-12,429737.73
2016-01-13,433431.97
2016-01-14,430030.58
2016-01-15,430369.4
2016-01-16,369983.73
2016-01-17,346028.52
2016-01-18,438066.93
2016-01-19,450161.08
2016-01-20,447534.09
2016-01-21,445021.39
2016-01-22,442845.03
2016-01-23,379528.04
2016-01-24,343889.57
2016-01-25,418523.58
2016-01-26,426435.65
2016-01-27,429992.9
2016-01-28,424183.66
2016-01-29,420247.79
2016-01-30,368114.32
2016-01-31,336265.83
2016-02-01,421122.73
2016-02-02,431109.8
2016-02-03,430723.32
2016-02-04,430641.46
2016-02-05,418894.12
2016-02-06,355982.69
2016-02-07,329889.22
2016-02-08,411760.07
2016-02-09,424956.96
2016-02-10,430976.99
2016-02-11,423515.81
2016-02-12,417836.93
2016-02-13,364703.84
2016-02-14,337270.09
2016-02-15,425330.86
2016-02-16,433191.64
2016-02-17,436988.26
2016-02-18,426958.71
2016-02-19,426714.01
2016-02-20,378987.27
2016-02-21,339325.05
2016-02-22,420904.56
2016-02-23,426265.84
2016-02-24,423675.78
2016-02-25,425565.51
2016-02-26,414391.23
2016-02-27,354235.02
2016-02-28,330703.62
2016-02-29,415508.88
2016-03-01,432934.83
2016-03-02,428805.14
2016-03-03,424475.89
2016-03-04,418826.55
2016-03-05,357093.92
2016-03-06,330998.53
2016-03-07,410942.86
2016-03-08,423559.72
2016-03-09,421596.41
2016-03-10,418157.27
2016-03-11,412039.65
2016-03-12,355794.48
2016-03-13,324985.34
2016-03-14,403596.31
2016-03-15,420654.79
2016-03-16,419738.96
2016-03-17,411120.54
2016-03-18,409320.54
2016-03-19,353620.66
2016-03-20,326916.78
2016-03-21,406942.16
2016-03-22,412886.0
2016-03-23,410887.12
2016-03-24,403234.18
2016-03-25,326550.41
2016-03-26,320530.45
2016-03-27,284408.73
2016-03-28,306177.2
2016-03-29,388485.69
2016-03-30,401923.25
2016-03-31,399073.99
2016-04-01,396247.71
2016-04-02,333829.87
2016-04-03,301937.75
2016-04-04,380326.58
2016-04-05,392979.35
2016-04-06,401195.43
2016-04-07,400553.91
2016-04-08,390444.83
2016-04-09,329027.28
2016-04-10,299488.51
2016-04-11,382743.67
2016-04-12,389711.47
2016-04-13,395551.42
2016-04-14,394993.69
2016-04-15,390177.69
2016-04-16,333365.08
2016-04-17,301840.22
2016-04-18,383503.5
2016-04-19,392140.32
2016-04-20,387896.43
2016-04-21,385399.11
2016-04-22,380922.82
2016-04-23,330379.04
2016-04-24,304130.79
2016-04-25,393054.99
2016-04-26,403170.98
2016-04-27,408800.49
2016-04-28,400803.75
2016-04-29,390229.4
2016-04-30,325388.78
2016-05-01,290414.05
2016-05-02,375941.32
2016-05-03,394751.37
2016-05-04,388063.1
2016-05-05,307548.04
2016-05-06,343560.47
2016-05-07,317453.38
2016-05-08,293797.99
2016-05-09,381837.76
2016-05-10,389564.15
2016-05-11,390840.27
2016-05-12,396441.53
2016-05-13,383397.09
2016-05-14,324992.11
2016-05-15,288575.35
2016-05-16,293935.94
2016-05-17,376932.52
2016-05-18,388799.47
2016-05-19,391999.71
2016-05-20,388262.25
2016-05-21,324844.73
2016-05-22,298348.63
2016-05-23,382613.32
2016-05-24,393425.54
2016-05-25,386608.0
2016-05-26,333642.2
2016-05-27,357987.59
2016-05-28,323019.63
2016-05-29,299826.23
2016-05-30,383108.82
2016-05-31,392426.2
2016-06-01,388643.53
2016-06-02,386723.85
2016-06-03,379001.77
2016-06-04,320389.98
2016-06-05,292243.93
2016-06-06,374020.34
2016-06-07,382667.62
2016-06-08,383684.95
2016-06-09,381080.8
2016-06-10,373670.58
2016-06-11,316610.18
2016-06-12,293736.72
2016-06-13,375002.51
2016-06-14,382807.21
2016-06-15,381025.13
2016-06-16,383227.88
2016-06-17,381451.83
2016-06-18,322105.03
2016-06-19,292803.44
2016-06-20,373164.14
2016-06-21,377978.5
2016-06-22,381030.81
2016-06-23,387023.75
2016-06-24,385524.81
2016-06-25,328235.37
2016-06-26,293649.11
2016-06-27,379428.81
2016-06-28,385392.54
2016-06-29,391298.83
2016-06-30,387949.77
2016-07-01,380849.37
2016-07-02,325904.86
2016-07-03,291676.63
2016-07-04,374413.66
2016-07-05,392898.51
2016-07-06,390509.05
2016-07-07,382900.91
2016-07-08,384715.47
2016-07-09,325508.94
2016-07-10,298260.4
2016-07-11,384016.44
2016-07-12,387881.93
2016-07-13,381723.34
2016-07-14,385556.0
2016-07-15,378105.22
2016-07-16,319732.87
2016-07-17,293614.77
2016-07-18,373354.41
2016-07-19,382843.59
2016-07-20,389238.2
2016-07-21,388035.12
2016-07-22,379155.03
2016-07-23,321470.63
2016-07-24,292692.99
2016-07-25,375100.58
2016-07-26,381827.3
2016-07-27,380751.22
2016-07-28,377247.87
2016-07-29,369783.28
2016-07-30,315354.11
2016-07-31,288306.63
2016-08-01,359590.55
2016-08-02,372537.88
2016-08-03,378259.31
2016-08-04,377984.31
2016-08-05,364953.81
2016-08-06,310207.51
2016-08-07,282786.07
2016-08-08,365793.11
2016-08-09,369016.4
2016-08-10,368230.52
2016-08-11,366525.72
2016-08-12,367736.25
2016-08-13,316475.11
2016-08-14,285824.78
2016-08-15,349785.6
2016-08-16,367421.65
2016-08-17,367019.58
2016-08-18,371283.86
2016-08-19,367146.24
2016-08-20,319551.22
2016-08-21,288621.71
2016-08-22,372830.46
2016-08-23,379245.45
2016-08-24,381165.68
2016-08-25,384798.15
2016-08-26,380786.38
2016-08-27,326937.99
2016-08-28,298604.21
2016-08-29,381130.25
2016-08-30,378003.59
2016-08-31,378681.08
2016-09-01,380640.98
2016-09-02,373467.25
2016-09-03,315433.65
2016-09-04,295863.76
2016-09-05,373343.74
2016-09-06,376340.86
2016-09-07,379003.75
2016-09-08,384748.57
2016-09-09,376339.08
2016-09-10,315510.52
2016-09-11,289807.21
2016-09-12,375988.85
2016-09-13,386517.79
2016-09-14,384947.25
2016-09-15,386254.21
2016-09-16,373524.43
2016-09-17,317760.05
2016-09-18,292496.57
2016-09-19,369488.99
2016-09-20,377087.83
2016-09-21,375689.71
2016-09-22,374989.85
2016-09-23,372270.95
2016-09-24,314069.17
2016-09-25,289579.26
2016-09-26,373685.77
2016-09-27,384874.68
2016-09-28,391615.97
2016-09-29,393488.25
2016-09-30,384448.67
2016-10-01,321523.77
2016-10-02,293055.95
2016-10-03,298569.87
2016-10-04,386657.79
2016-10-05,398765.75
2016-10-06,408754.47
2016-10-07,400137.14
2016-10-08,338655.71
2016-10-09,312156.05
2016-10-10,395135.26
2016-10-11,407219.15
2016-10-12,408774.92
2016-10-13,411781.47
2016-10-14,403660.05
2016-10-15,340306.61
2016-10-16,306482.57
2016-10-17,394799.93
2016-10-18,406720.16
2016-10-19,409589.59
2016-10-20,411866.42
2016-10-21,404987.39
2016-10-22,341524.8
2016-10-23,312432.83
2016-10-24,402089.78
2016-10-25,408073.22
2016-10-26,405157.35
2016-10-27,408509.35
2016-10-28,404620.27
2016-10-29,339715.91
2016-10-30,319933.12
2016-10-31,359989.75
2016-11-01,352502.59
2016-11-02,412652.17
2016-11-03,415996.78
2016-11-04,413769.75
2016-11-05,357784.26
2016-11-06,329997.82
2016-11-07,415333.04
2016-11-08,428410.87
2016-11-09,431203.16
2016-11-10,430524.58
2016-11-11,426869.32
2016-11-12,370431.49
2016-11-13,343420.34
2016-11-14,431215.26
2016-11-15,441977.14
2016-11-16,432504.3
2016-11-17,431661.79
2016-11-18,424026.7
2016-11-19,366228.77
2016-11-20,338125.81
2016-11-21,421271.68
2016-11-22,423661.28
2016-11-23,422716.86
2016-11-24,428281.68
2016-11-25,422622.21
2016-11-26,366424.91
2016-11-27,337409.89
2016-11-28,428254.18
2016-11-29,445882.16
2016-11-30,449058.54
2016-12-01,445389.61
2016-12-02,431917.44
2016-12-03,370518.01
2016-12-04,350899.5
2016-12-05,437341.7
2016-12-06,450959.48
2016-12-07,457775.92
2016-12-08,445163.71
2016-12-09,430350.72
2016-12-10,364610.42
2016-12-11,343165.85
2016-12-12,427340.68
2016-12-13,437288.7
2016-12-14,433200.05
2016-12-15,436175.9
