1,19.16
2,11.12
3,19.54
4,44.43
5,19.26
6,18.16
7,10.99
8,31.18
9,18.75
10,16.02
11,14.44
12,17.17
13,14.43
14,18.29
15,17.58
16,16.68
17,17.84
18,19.08
19,19.81
20,17.38
21,21.24
22,21.13
23,21.66
24,35.25
25,21.23
26,10.44
27,23.34
28,34.09
29,33.36
30,27.34
31,20.9
32,15.33
33,20.16
34,36.02
35,29.67
36,31.49
37,34.18
38,43.11
39,11.17
40,27.32
41,26.44
42,17.07
43,12.93
44,17.64
45,29.21
46,29.57
47,23.33
48,14.55
49,11.55
50,47.03
51,20.67
52,29.02
53,19.14
54,22.33
55,18.39
56,36.17
57,13.99
58,22.02
59,25.49
60,19.3
61,33.19
62,23.45
63,100.78
64,96.45
65,125.35
66,28.43
67,42.57
68,37.21
69,24.57
70,35.81
71,46.51
72,24.75
73,26.14
74,13.38
75,49.61
76,67.08
77,30.35
78,12.45
79,14.57
80,53.53
81,22.46
82,45.52
83,34.17
84,16.07
85,27.34
86,29.55
87,37.64
88,42.27
89,20.58
90,37.71
91,11.47
92,12.16
93,45.59
94,27.14
95,13.07
96,30.29
97,33.57
98,15.36
99,28.47
100,23.41
101,38.2
102,12.71
103,11.34
104,19.16
105,19.97
106,15.59
107,18.67
108,26.59
109,50.11
110,47.4
111,14.29
112,50.06
113,30.62
114,42.44
115,11.2
116,38.77
117,17.12
118,37.02
119,62.71
120,16.83
121,12.26
122,84.78
123,15.99
124,37.16
125,33.19
126,19.5
127,19.73
128,17.89
129,62.73
130,17.15
131,15.69
132,14.48
133,29.95
134,21.36
135,14.19
136,8.51
137,16.44
138,23.33
139,13.95
140,14.91
141,17.07
142,9.88
143,12.97
144,18.63
145,16.94
146,17.49
147,13.57
148,38.81
149,10.22
150,14.54
151,20.95
152,26.69
153,61.5
154,12.05
155,9
156,25.86
157,21.54
158,15.71
159,17.56
160,17.37
161,45.54
162,36.25
163,13.08
164,24.46
165,18.62
166,13.51
167,13.28
168,11.86
