ID Nummer,Schicht,Datum,Anwesend
ID75458,Nachmittagsschicht,27.06.2015,1
ID75458,Nachmittagsschicht,29.06.2015,1
ID75458,Nachmittagsschicht,30.06.2015,1
ID75458,Nachmittagsschicht,07.07.2015,1
ID75458,Nachmittagsschicht,09.07.2015,1
ID75458,Nachmittagsschicht,11.07.2015,1
ID75458,Nachmittagsschicht,18.07.2015,1
ID75458,Nachmittagsschicht,21.07.2015,1
ID75458,Nachmittagsschicht,22.07.2015,1
ID75458,Nachmittagsschicht,23.07.2015,1
ID75458,Nachmittagsschicht,24.07.2015,1
ID75458,Nachmittagsschicht,28.07.2015,1
ID75458,Nachmittagsschicht,31.07.2015,1
ID75458,Nachmittagsschicht,17.08.2015,1
ID75458,Nachmittagsschicht,19.08.2015,1
ID75458,Nachmittagsschicht,24.08.2015,1
ID75458,Nachmittagsschicht,25.08.2015,1
ID75458,Nachmittagsschicht,26.08.2015,1
ID75458,Nachmittagsschicht,27.08.2015,1
ID75458,Nachmittagsschicht,31.08.2015,1
ID75458,Nachmittagsschicht,01.09.2015,1
ID75458,Nachmittagsschicht,04.09.2015,1
ID75458,Nachmittagsschicht,08.09.2015,1
ID75458,Nachmittagsschicht,12.09.2015,1
ID75458,Nachmittagsschicht,16.09.2015,1
ID75458,Nachmittagsschicht,19.09.2015,1
ID75458,Nachmittagsschicht,21.09.2015,1
ID75458,Nachmittagsschicht,22.09.2015,1
ID75458,Nachmittagsschicht,25.09.2015,1
ID75458,Nachmittagsschicht,28.09.2015,1
ID75458,Nachmittagsschicht,02.10.2015,1
ID75458,Nachmittagsschicht,03.10.2015,1
ID75458,Nachmittagsschicht,05.10.2015,1
ID75458,Nachmittagsschicht,07.10.2015,1
ID75458,Nachmittagsschicht,08.10.2015,1
ID75458,Nachmittagsschicht,09.10.2015,1
ID75458,Nachmittagsschicht,13.10.2015,1
ID75458,Nachmittagsschicht,19.10.2015,1
ID75458,Nachmittagsschicht,21.10.2015,1
